Date,New_Report
1,211
2,88
3,53
4,177
5,49
6,127
7,105
8,71
9,260
10,103
11,276
12,138
13,256
14,128
15,246
16,166
17,311
18,78
19,279
20,92
21,374
22,160
23,373
24,96
25,289
26,390
27,147
28,397
29,263
30,64
31,273
32,42
33,0
34,143
35,166
36,28
37,0
38,122
39,94
40,32
41,0
42,157
43,0
44,7
45,0
46,20
47,16
48,23
49,58
50,20
51,0
52,6
53,12
54,42
55,5
56,0
57,9
58,12
59,53
60,17
61,0
62,4
63,21
64,51
65,0
66,3
67,17
68,44
69,13
70,0
71,11
72,0
73,0
74,66
75,19
76,12
77,33
78,0
79,30
80,6
81,39
82,0
83,35
84,6
85,15
86,3
87,0
88,21
89,10
90,2
91,0
92,9
93,3
94,23
95,3
96,2
97,3
98,0
99,3
100,3
101,3
102,1
103,2
104,6
105,3
106,1
107,1
108,2
109,2
110,2
111,3
112,0
113,2
114,0
115,0
116,0