Date,Price,Open,High,Low,Vol.,Change
13-Feb-22,"2,879.46","2,917.16","3,193.18","2,834.13",2.14M,-1.29%
6-Feb-22,"2,917.10","3,013.75","3,277.36","2,858.85",3.93M,-3.21%
30-Jan-22,"3,013.81","2,600.12","3,058.88","2,478.85",4.51M,15.91%
23-Jan-22,"2,600.02","2,412.52","2,719.32","2,161.55",6.08M,7.77%
16-Jan-22,"2,412.52","3,326.50","3,388.22","2,311.80",4.86M,-27.50%
9-Jan-22,"3,327.74","3,079.89","3,407.98","2,931.68",3.54M,8.04%
2-Jan-22,"3,080.02","3,765.67","3,889.07","3,001.76",4.24M,-18.21%
26-Dec-21,"3,765.67","4,093.38","4,125.22","3,589.64",2.74M,-8.00%
19-Dec-21,"4,093.14","3,959.90","4,149.17","3,757.42",3.17M,3.37%
12-Dec-21,"3,959.83","4,078.17","4,173.21","3,649.69",4.52M,-2.84%
5-Dec-21,"4,075.66","4,118.27","4,482.89","3,836.92",5.12M,-1.16%
28-Nov-21,"4,123.46","4,095.16","4,778.14","3,533.02",5.20M,0.70%
21-Nov-21,"4,094.80","4,409.02","4,549.74","3,917.43",5.03M,-7.12%
14-Nov-21,"4,408.85","4,644.40","4,769.38","3,958.44",4.53M,-5.08%
7-Nov-21,"4,644.61","4,517.27","4,864.06","4,498.78",3.86M,2.82%
31-Oct-21,"4,517.36","4,322.00","4,661.88","4,157.51",3.71M,4.55%
24-Oct-21,"4,320.65","4,168.80","4,458.30","3,896.33",4.93M,3.64%
17-Oct-21,"4,168.85","3,827.55","4,366.91","3,664.63",4.80M,8.92%
10-Oct-21,"3,827.55","3,574.52","3,967.43","3,381.43",4.74M,7.09%
3-Oct-21,"3,574.20","3,388.83","3,668.35","3,273.22",5.38M,5.47%
26-Sep-21,"3,388.97","2,922.47","3,467.95","2,740.12",7.07M,15.96%
19-Sep-21,"2,922.55","3,435.92","3,455.67","2,659.71",9.60M,-14.94%
12-Sep-21,"3,435.97","3,267.33","3,672.68","3,118.66",5.35M,5.16%
5-Sep-21,"3,267.33","3,885.40","3,981.22","3,061.30",8.18M,-15.90%
29-Aug-21,"3,884.97","3,243.96","4,024.89","3,145.53",7.84M,19.76%
22-Aug-21,"3,243.90","3,224.17","3,375.42","3,057.48",5.48M,0.62%
15-Aug-21,"3,223.96","3,264.56","3,334.22","2,951.04",5.70M,-1.25%
8-Aug-21,"3,264.69","3,158.30","3,328.38","2,899.24",7.31M,3.38%
1-Aug-21,"3,158.00","2,530.94","3,169.74","2,445.49",7.30M,24.71%
25-Jul-21,"2,532.19","2,166.98","2,551.68","2,108.74",7.54M,17.67%
18-Jul-21,"2,151.85","1,898.01","2,162.29","1,720.70",7.25M,13.38%
11-Jul-21,"1,897.98","2,110.90","2,173.34","1,851.97",4.92M,-10.10%
4-Jul-21,"2,111.12","2,224.70","2,402.68","2,066.09",9.93M,-5.11%
27-Jun-21,"2,224.70","1,830.42","2,281.55","1,808.59",11.33M,21.53%
20-Jun-21,"1,830.62","2,166.30","2,276.83","1,707.24",13.62M,-15.52%
13-Jun-21,"2,166.91","2,368.68","2,637.90","2,142.74",9.96M,-8.51%
6-Jun-21,"2,368.47","2,628.43","2,842.88","2,260.80",9.63M,-9.91%
30-May-21,"2,628.98","2,276.97","2,889.19","2,181.93",16.66M,15.51%
23-May-21,"2,276.07","2,292.68","2,908.37","1,739.91",19.94M,-0.68%
16-May-21,"2,291.60","3,643.67","3,877.20","1,922.25",26.61M,-37.07%
9-May-21,"3,641.65","3,905.69","4,366.10","3,539.96",15.99M,-6.76%
2-May-21,"3,905.55","2,945.04","3,952.88","2,854.12",12.40M,32.63%
25-Apr-21,"2,944.66","2,217.23","2,951.74","2,169.91",10.71M,32.89%
18-Apr-21,"2,215.93","2,317.88","2,642.99","1,948.93",18.50M,-4.42%
11-Apr-21,"2,318.33","2,133.89","2,544.54","2,103.73",14.66M,8.65%
4-Apr-21,"2,133.79","2,007.82","2,197.73","1,939.64",14.71M,6.23%
28-Mar-21,"2,008.59","1,712.89","2,144.11","1,661.92",14.28M,17.26%
21-Mar-21,"1,713.01","1,804.60","1,815.85","1,546.48",11.16M,-5.08%
14-Mar-21,"1,804.60","1,921.29","1,932.36","1,715.97",9.62M,-6.07%
7-Mar-21,"1,921.13","1,650.94","1,943.36","1,634.73",10.86M,16.49%
28-Feb-21,"1,649.19","1,458.84","1,670.01","1,294.79",11.79M,13.04%
21-Feb-21,"1,458.93","1,912.97","1,974.99","1,370.45",15.77M,-23.77%
14-Feb-21,"1,913.88","1,815.44","2,040.79","1,661.09",10.99M,5.42%
7-Feb-21,"1,815.49","1,676.62","1,871.36","1,491.68",13.12M,8.28%
31-Jan-21,"1,676.63","1,377.05","1,760.09","1,272.09",14.22M,21.76%
24-Jan-21,"1,376.96","1,233.41","1,474.68","1,210.40",17.87M,11.64%
17-Jan-21,"1,233.40","1,228.33","1,437.42","1,045.02",17.28M,0.42%
10-Jan-21,"1,228.27","1,275.87","1,347.98",917.96,19.35M,-3.71%
3-Jan-21,"1,275.58",774.54,"1,301.75",769.57,24.32M,64.70%
27-Dec-20,774.5,636.35,787.26,627.12,13.07M,21.67%
20-Dec-20,636.58,657.79,661.04,554.09,13.54M,-3.28%
13-Dec-20,658.17,568.07,675.68,563.37,17.51M,15.92%
6-Dec-20,567.78,596.61,606.9,530.88,112.41M,-4.84%
29-Nov-20,596.68,537.89,635.66,530.71,246.34M,10.96%
22-Nov-20,537.74,551.9,621.7,484.03,167.78M,-2.57%
15-Nov-20,551.91,460.75,552.13,440.44,114.89M,19.80%
8-Nov-20,460.7,435.39,477.78,432.44,99.07M,5.81%
1-Nov-20,435.4,386.36,467.88,370.96,47.80M,12.68%
25-Oct-20,386.42,412.44,417.07,374.36,36.94M,-6.19%
18-Oct-20,411.92,368.61,420.12,367.16,61.61M,11.74%
11-Oct-20,368.63,370.28,394.58,362.65,54.73M,-0.41%
4-Oct-20,370.16,345.6,377.97,334.11,45.40M,7.10%
27-Sep-20,345.6,354.26,369.1,335.91,48.18M,-2.44%
20-Sep-20,354.25,385.33,385.39,315.54,67.78M,-8.05%
13-Sep-20,385.25,388.06,393.96,353.85,69.03M,-0.71%
6-Sep-20,387.98,334.91,388.12,316.69,116.20M,15.85%
30-Aug-20,334.91,398.8,488.24,314.13,137.06M,-16.02%
23-Aug-20,398.8,395.56,410.17,370.4,46.14M,0.82%
16-Aug-20,395.56,432.22,444.86,379.96,53.12M,-8.47%
9-Aug-20,432.18,396.78,443.74,367.05,59.91M,8.93%
2-Aug-20,396.76,387.15,415.08,335.76,69.12M,2.49%
26-Jul-20,387.14,305.32,392.37,300.33,67.80M,26.80%
19-Jul-20,305.32,235.72,308.57,233.35,48.08M,29.51%
12-Jul-20,235.75,239.2,245.04,230.44,47.89M,-1.44%
5-Jul-20,239.2,229.09,248.76,223.79,56.72M,4.39%
28-Jun-20,229.15,221.07,232.47,218.46,42.17M,3.66%
21-Jun-20,221.06,228.87,249.23,217.11,46.55M,-3.41%
14-Jun-20,228.86,238.23,238.48,219.06,44.84M,-3.93%
7-Jun-20,238.22,242,249.77,227.01,55.72M,-1.56%
31-May-20,242,243.63,253.21,227.95,69.61M,-0.67%
24-May-20,243.63,206.65,246.55,197.3,79.23M,17.91%
17-May-20,206.62,200.51,217,192.11,97.96M,3.05%
10-May-20,200.51,210.19,210.19,177.43,149.67M,-4.62%
3-May-20,210.22,213.96,218.74,195.25,167.36M,-1.75%
26-Apr-20,213.96,194.01,227.05,190.87,182.28M,10.28%
19-Apr-20,194.01,187.47,197.35,167.51,172.27M,3.50%
12-Apr-20,187.45,158.18,189.22,148.91,162.42M,18.51%
5-Apr-20,158.18,144.03,175.78,140.84,193.42M,9.84%
29-Mar-20,144.01,131.02,148.91,124.84,149.27M,9.91%
22-Mar-20,131.03,132.59,142.9,120.2,159.16M,-1.17%
15-Mar-20,132.58,122.67,151.85,102.44,230.26M,8.06%
8-Mar-20,122.69,237.3,237.3,88.5,267.66M,-48.30%
1-Mar-20,237.32,217.51,251.55,213,121.65M,9.10%
23-Feb-20,217.52,261.65,276.81,210.36,162.44M,-16.86%
16-Feb-20,261.64,264.87,285.75,237.89,151.56M,-1.22%
9-Feb-20,264.87,223.23,287.93,217.02,137.45M,18.65%
2-Feb-20,223.23,183.58,227.55,183.58,101.65M,21.56%
26-Jan-20,183.64,160.4,186.76,159.55,82.70M,14.46%
19-Jan-20,160.44,174.17,177.77,155.65,94.49M,-7.89%
12-Jan-20,174.19,142.65,179.8,142,113.12M,22.09%
5-Jan-20,142.67,134.32,147.68,134.32,92.34M,6.21%
29-Dec-19,134.33,128.35,137.74,126.05,94.22M,4.66%
22-Dec-19,128.35,127.61,134.92,123.18,93.43M,0.58%
15-Dec-19,127.61,142.03,143.87,117.14,104.63M,-10.16%
8-Dec-19,142.03,148.25,152.22,140,75.02M,-4.21%
1-Dec-19,148.28,151.93,152.33,143.95,68.17M,-2.42%
24-Nov-19,151.95,152.46,157.27,131.78,83.98M,-0.33%
17-Nov-19,152.46,182.39,185.97,139.13,91.26M,-16.42%
10-Nov-19,182.42,184.96,191.28,178.29,71.29M,-1.38%
3-Nov-19,184.96,183.01,194.11,179.46,80.29M,1.06%
27-Oct-19,183.01,179.61,192.28,176.47,89.26M,1.89%
20-Oct-19,179.62,171.93,192.54,154.42,73.16M,4.49%
13-Oct-19,171.91,179.86,187.67,169.28,73.98M,-4.43%
6-Oct-19,179.87,176.44,195.87,168.74,78.51M,1.95%
29-Sep-19,176.43,173.62,184.95,164.97,67.69M,1.62%
22-Sep-19,173.62,215.23,215.64,153.17,85.82M,-19.33%
15-Sep-19,215.22,188.17,223.35,185.92,69.27M,14.38%
8-Sep-19,188.16,177.76,188.54,174.86,59.26M,5.86%
1-Sep-19,177.74,171.62,182.59,166.16,60.98M,3.56%
25-Aug-19,171.62,190.16,193.09,164.04,57.67M,-9.74%
18-Aug-19,190.15,184.83,202.81,175.8,67.00M,2.89%
11-Aug-19,184.81,205.92,216.23,106.01,82.86M,-10.26%
4-Aug-19,205.93,220.89,237.47,202.35,60.50M,-6.78%
28-Jul-19,220.89,206.64,223,199.68,51.56M,6.91%
21-Jul-19,206.62,227.83,228.76,202.3,57.79M,-9.32%
14-Jul-19,227.86,269.12,269.62,192.91,85.63M,-15.34%
7-Jul-19,269.16,288.11,317.94,262.85,65.42M,-6.57%
30-Jun-19,288.08,318.26,323.21,273.07,60.28M,-9.55%
23-Jun-19,318.48,310.39,364.89,279.82,75.19M,2.61%
16-Jun-19,310.38,267.74,314,261.76,58.55M,15.92%
9-Jun-19,267.75,243.43,271.61,227,51.83M,9.99%
2-Jun-19,243.42,264.26,272.64,235.35,58.74M,-7.90%
26-May-19,264.31,250.69,287.99,241.51,92.00M,5.44%
19-May-19,250.68,233.87,263.05,231.89,80.76M,7.18%
12-May-19,233.89,192.17,278.52,182.81,138.47M,21.65%
5-May-19,192.27,163.67,204.72,159.56,81.71M,17.47%
28-Apr-19,163.68,159.43,171.04,152.6,64.81M,2.68%
21-Apr-19,159.41,172.89,175.92,151.73,71.77M,-7.71%
14-Apr-19,172.73,163.19,176.71,153.65,57.15M,5.84%
7-Apr-19,163.19,165.58,185.54,158.93,72.32M,-1.42%
31-Mar-19,165.55,142.65,177.29,140.26,138.31M,16.05%
24-Mar-19,142.65,137.53,145.85,132.36,81.55M,3.73%
17-Mar-19,137.53,141.15,141.87,133.05,77.10M,-2.56%
10-Mar-19,141.15,137.52,143.95,129.14,78.47M,2.63%
3-Mar-19,137.52,132.77,168.42,123.25,94.15M,3.59%
24-Feb-19,132.76,158.31,165.79,128.15,88.08M,-16.14%
17-Feb-19,158.3,122.88,159.31,122.78,59.72M,28.84%
10-Feb-19,122.87,119.44,126.17,116.42,41.65M,2.87%
3-Feb-19,119.44,110.67,122.58,102.28,44.09M,7.91%
27-Jan-19,110.68,115.83,116.24,101.6,38.12M,-4.45%
20-Jan-19,115.83,123,123.52,112.36,31.96M,-5.85%
13-Jan-19,123.02,123.75,130.3,112.79,23.75M,-0.59%
6-Jan-19,123.75,153.48,158.29,121.28,26.22M,-19.37%
30-Dec-18,153.49,133.64,159.78,129.51,30.58M,14.83%
23-Dec-18,133.67,115.85,158.27,112.59,44.99M,15.40%
16-Dec-18,115.84,83.9,118.67,83.89,35.27M,38.06%
9-Dec-18,83.9,90.56,98.76,81.97,28.22M,-7.36%
2-Dec-18,90.57,118.23,127.08,77.65,30.17M,-23.40%
25-Nov-18,118.23,114.42,126.6,102.8,34.99M,3.32%
18-Nov-18,114.43,176.53,182.07,111.79,30.94M,-35.18%
11-Nov-18,176.53,213.19,214.95,171.99,297.50M,-17.20%
4-Nov-18,213.21,200.27,224.64,199.38,212.10M,6.48%
28-Oct-18,200.23,204.36,205.79,193,96.58M,-2.02%
21-Oct-18,204.36,207.76,211.65,202.99,122.69M,-1.77%
14-Oct-18,208.04,201.22,235.83,195.4,160.37M,3.39%
7-Oct-18,201.22,225.19,232.66,188.65,11.42M,-10.64%
30-Sep-18,225.18,231.9,238.64,216.44,56.46M,-2.88%
23-Sep-18,231.87,240.82,249.02,204.84,42.56M,-3.71%
16-Sep-18,240.82,221.94,254.36,192.87,41.16M,8.50%
9-Sep-18,221.94,196.69,259.37,169.08,43.33M,12.78%
2-Sep-18,196.79,295.32,299.38,191.16,37.21M,-33.36%
26-Aug-18,295.31,277.61,301.92,269.75,32.61M,6.37%
19-Aug-18,277.61,293.9,306.3,266.4,29.14M,-5.54%
12-Aug-18,293.89,317.63,327.51,250.84,28.52M,-7.46%
5-Aug-18,317.59,407.11,413.4,305.19,10.62M,-21.98%
29-Jul-18,407.09,468.89,471.78,398.1,9.64M,-13.16%
22-Jul-18,468.78,461.51,484.97,448.14,8.61M,1.57%
15-Jul-18,461.52,434.09,515.2,432.59,9.70M,6.32%
8-Jul-18,434.09,485.4,494.03,418.71,9.95M,-10.57%
1-Jul-18,485.4,452.72,486.18,442.29,11.76M,7.23%
24-Jun-18,452.67,474.14,475.74,406.12,19.89M,-4.53%
17-Jun-18,474.14,496.95,547.5,450.72,7.04M,-4.59%
10-Jun-18,496.93,593.8,593.82,450.67,9.19M,-16.31%
3-Jun-18,593.8,591.33,627.51,577.53,5.11M,0.42%
27-May-18,591.3,586.63,598.78,507.72,7.42M,0.77%
20-May-18,586.76,696.73,722.92,547.39,7.28M,-15.79%
13-May-18,696.76,684.77,741.52,658.25,7.00M,1.87%
6-May-18,683.94,818.75,838.26,635.23,9.45M,-16.42%
29-Apr-18,818.33,683.49,830.03,630.33,7.47M,19.73%
22-Apr-18,683.49,605.58,711.74,591.78,9.39M,12.86%
15-Apr-18,605.59,502.52,623.86,498.87,7.30M,20.51%
8-Apr-18,502.52,384.85,528.71,384.85,7.87M,30.57%
1-Apr-18,384.87,394.1,418.78,359.49,6.45M,-2.31%
25-Mar-18,393.96,520.44,535.11,366.12,9.05M,-24.30%
18-Mar-18,520.45,549.96,589.83,454.9,8.50M,-5.42%
11-Mar-18,550.27,682.77,739.25,544.51,5.37M,-19.38%
4-Mar-18,682.52,855.91,870.27,644.46,5.08M,-20.26%
25-Feb-18,855.91,834.1,894.78,818.46,3.63M,2.58%
18-Feb-18,834.36,971.57,980.27,787.95,5.61M,-14.12%
11-Feb-18,971.54,851.44,972.86,778.9,5.82M,14.11%
4-Feb-18,851.39,971.49,972.66,568.78,13.83M,-12.36%
28-Jan-18,971.49,"1,114.70","1,264.80",766.82,9.42M,-12.86%
21-Jan-18,"1,114.80","1,146.30","1,146.30",905.38,4.35M,-2.72%
14-Jan-18,"1,146.00","1,379.90","1,385.00",770.1,8.35M,-16.96%
7-Jan-18,"1,380.00","1,004.30","1,423.20",968.12,7.31M,37.41%
31-Dec-17,"1,004.30",682.22,"1,023.60",675.56,6.23M,47.21%
24-Dec-17,682.22,672.59,766.06,560,5.52M,1.43%
17-Dec-17,672.59,683.25,863,492.01,10.27M,-1.56%
10-Dec-17,683.25,460.92,760,413.3,9.24M,48.24%
3-Dec-17,460.92,455.51,487.8,390,6.23M,1.19%
26-Nov-17,455.51,464,517,385.4,3.86M,-1.83%
19-Nov-17,464,346.68,481.99,343.28,4.74M,33.84%
12-Nov-17,346.68,313.07,350.4,293.33,4.59M,10.74%
5-Nov-17,313.07,299.48,328.8,285.01,5.48M,4.54%
29-Oct-17,299.48,293.49,314.4,275.21,3.84M,2.04%
22-Oct-17,293.49,299.23,311.85,273.5,2.71M,-1.92%
15-Oct-17,299.23,339.24,355,287.46,4.57M,-11.79%
8-Oct-17,339.24,311.46,350,287.03,4.29M,8.92%
1-Oct-17,311.46,303.44,315,285.12,2.80M,2.64%
24-Sep-17,303.44,285.9,315.51,275.41,4.37M,6.14%
17-Sep-17,285.9,253,299.89,239,5.70M,13.00%
10-Sep-17,253,303.08,316.73,198,10.66M,-16.52%
3-Sep-17,303.08,345,368.4,267.64,7.14M,-12.15%
27-Aug-17,345,332.72,395.03,325.1,3.93M,3.69%
20-Aug-17,332.72,292.78,346.99,285.01,3.74M,13.64%
13-Aug-17,292.78,307.22,312,272.29,3.71M,-4.70%
6-Aug-17,307.22,253.87,319.78,251,4.93M,21.01%
30-Jul-17,253.87,206.76,259.9,188.12,4.21M,22.78%
23-Jul-17,206.76,232.01,236.57,176.95,4.31M,-10.88%
16-Jul-17,232.01,170.15,258,136.12,11.92M,36.36%
9-Jul-17,170.15,245.23,249,169,6.37M,-30.62%
2-Jul-17,245.23,255,285.91,226.68,2.79M,-3.83%
25-Jun-17,255,296.89,318.27,204.11,5.59M,-14.11%
18-Jun-17,296.89,364.56,377.46,287.11,2.10M,-18.56%
11-Jun-17,364.56,325.88,412.21,265,4.43M,11.87%
4-Jun-17,325.88,217.01,341.94,216.1,2.23M,50.17%
28-May-17,217.01,149.99,230.55,149.66,3.16M,44.68%
21-May-17,149.99,123.03,206.06,110.42,6.35M,21.91%
14-May-17,123.03,89.9,129.25,83.77,2.71M,36.85%
7-May-17,89.9,96.65,98,77.76,2.07M,-6.98%
30-Apr-17,96.65,73.55,101.7,66,4.26M,31.41%
23-Apr-17,73.55,52.15,77.6,51.75,2.98M,41.04%
16-Apr-17,52.15,49.71,53,45,1.97M,4.91%
9-Apr-17,49.71,44.51,51.51,43.01,2.29M,11.68%
2-Apr-17,44.51,50.59,51.59,41.05,4.57M,-12.02%
26-Mar-17,50.59,50.75,54.3,46.55,3.54M,-0.32%
19-Mar-17,50.75,34.2,58.99,34.1,6.82M,48.39%
12-Mar-17,34.2,21.3,51.88,21.05,13.20M,60.56%
5-Mar-17,21.3,18.5,21.45,16.25,3.10M,15.14%
26-Feb-17,18.5,13.55,20.73,13.3,3.93M,36.53%
19-Feb-17,13.55,12.79,13.8,12.25,904.54K,5.94%
12-Feb-17,12.79,11.33,13.4,11.05,1.28M,12.89%
5-Feb-17,11.33,11.32,11.6,10.41,732.95K,0.09%
29-Jan-17,11.32,10.49,11.4,10.38,919.47K,7.71%
22-Jan-17,10.51,10.91,10.98,10.34,574.98K,-4.02%
15-Jan-17,10.95,9.67,11.09,9.53,609.65K,13.24%
8-Jan-17,9.67,9.8,10.84,9.08,716.75K,-1.73%
1-Jan-17,9.84,8.17,11.7,8.03,8.38M,23.00%
25-Dec-16,8,7.25,8.6,7.05,861.95K,10.34%
18-Dec-16,7.25,7.88,7.96,7.11,469.44K,-6.21%
11-Dec-16,7.73,8.14,8.63,7.47,489.40K,-4.80%
4-Dec-16,8.12,7.85,8.84,5.86,1.32M,2.65%
27-Nov-16,7.91,9.33,9.33,7.1,1.20M,-15.22%
20-Nov-16,9.33,9.68,10.26,8.7,361.91K,-4.11%
13-Nov-16,9.73,10.01,10.5,9.46,441.48K,-2.80%
6-Nov-16,10.01,11.15,11.27,9.7,327.51K,-10.38%
30-Oct-16,11.17,10.38,11.53,10.31,619.35K,7.61%
23-Oct-16,10.38,12.25,12.26,9.5,851.64K,-15.54%
16-Oct-16,12.29,12.01,12.91,11.81,603.90K,2.33%
9-Oct-16,12.01,12.26,12.56,11.6,846.39K,-2.04%
2-Oct-16,12.26,13.18,13.5,12,477.28K,-6.98%
25-Sep-16,13.18,12.86,13.49,12.77,378.16K,2.49%
18-Sep-16,12.86,12.73,15.4,12.26,1.34M,0.47%
11-Sep-16,12.8,12.13,12.87,11.6,1.37M,5.52%
4-Sep-16,12.13,11.88,12.18,11.26,560.81K,1.00%
28-Aug-16,12.01,11.11,12.6,10.78,410.28K,7.23%
21-Aug-16,11.2,11.26,11.42,10.9,354.94K,-0.53%
14-Aug-16,11.26,11.48,11.67,10.61,1.34M,-1.92%
7-Aug-16,11.48,10.16,12.33,10.16,1.12M,12.99%
31-Jul-16,10.16,12.45,12.55,9.9,1.62M,-18.85%
24-Jul-16,12.52,14.33,14.44,11.78,4.79M,-12.14%
17-Jul-16,14.25,11.72,15.15,11.01,5.90M,21.59%
10-Jul-16,11.72,10.83,12.55,10.2,1.72M,7.52%
3-Jul-16,10.9,12.06,12.11,9.35,3.05M,-10.21%
26-Jun-16,12.14,14.22,14.4,11.51,2.27M,-15.16%
19-Jun-16,14.31,10.76,15.9,10.51,6.07M,25.42%
12-Jun-16,11.41,14.3,21.69,10.13,11.77M,-19.36%
5-Jun-16,14.15,13.75,14.89,13.56,1.01M,2.46%
29-May-16,13.81,11.8,14.3,11.78,1.88M,15.28%
22-May-16,11.98,14.06,14.51,10.38,2.42M,-14.43%
15-May-16,14,10.25,14.89,9.93,2.20M,37.80%
8-May-16,10.16,9.41,11.11,9,744.33K,8.66%
1-May-16,9.35,8.74,10.3,8.35,756.64K,5.41%
24-Apr-16,8.87,8.35,9.36,7.12,867.38K,4.85%
17-Apr-16,8.46,8.7,10.9,7.73,569.35K,-0.94%
10-Apr-16,8.54,9.15,9.43,6.86,534.18K,-6.67%
3-Apr-16,9.15,11.61,11.76,9,292.70K,-21.19%
27-Mar-16,11.61,10.93,12.3,10.17,284.70K,5.55%
20-Mar-16,11,10.55,12.47,9.56,279.69K,6.69%
13-Mar-16,10.31,12.92,15.07,8.34,466.81K,-20.20%
